,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Wed Mar 21 20:56:41 +0000 2018,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' 😳🤣🙌…",0.0,0.0,1.0,0.0,1
1,BBC,Wed Mar 21 20:51:06 +0000 2018,"""I felt vulnerable but now I feel empowered.”

25-year-old rapper Paigey Cakey had a hair transplant after her hair… https://t.co/fGoueTbzyQ",-0.1154,0.0,0.921,0.079,2
2,BBC,Wed Mar 21 20:03:04 +0000 2018,"Watch as @ZoeTheBall attempts to cycle over 300 miles, to raise awareness about mental health and raise money for… https://t.co/qGcCT8wLSt",0.0,0.0,1.0,0.0,3
3,BBC,Wed Mar 21 19:03:04 +0000 2018,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw",-0.5994,0.0,0.837,0.163,4
4,BBC,Wed Mar 21 17:03:04 +0000 2018,"😍🍫You really can't go wrong with a recipe from Mary Berry. 

❤️️🍰 Here are some of @BBCFood's favourites. 👉… https://t.co/svyK73KV0o",0.4249,0.135,0.865,0.0,5
5,BBC,Wed Mar 21 16:30:07 +0000 2018,"Is it too late to save the oceans from plastic? 🦈

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN",0.4939,0.132,0.868,0.0,6
6,BBC,Wed Mar 21 16:29:54 +0000 2018,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…",0.4019,0.114,0.886,0.0,7
7,BBC,Wed Mar 21 15:59:03 +0000 2018,"Fictional locations such as Narnia, Gotham City and Neverland have mysteriously appeared on road signs in Oxfordshi… https://t.co/3NzQqfNNux",0.0,0.0,1.0,0.0,8
8,BBC,Wed Mar 21 14:03:03 +0000 2018,"🎶 Did you know that @DBtodomundo was asked to leave his school choir? 

📻 Here are 11 things we learned from the Ta… https://t.co/tusEZQgIbG",-0.0516,0.0,0.946,0.054,9
9,BBC,Wed Mar 21 13:30:02 +0000 2018,What did students think when the BBC transported them to places they never thought possible? #ForReal… https://t.co/KFgZaE3PXi,0.0,0.0,1.0,0.0,10
10,BBC,Wed Mar 21 13:03:01 +0000 2018,"Almost 1,000 sausage dogs have taken part in a dachshund dash! 🐶❤️️🐾

https://t.co/SMYaziJUrq",0.0,0.0,1.0,0.0,11
11,BBC,Wed Mar 21 12:33:01 +0000 2018,"Ruben is a star of @cbbc's #TheDumpingGround and has Down's Syndrome.

Growing up with a disability could have been… https://t.co/lNo1Pa2wTu",0.1779,0.091,0.909,0.0,12
12,BBC,Wed Mar 21 11:46:05 +0000 2018,The annual Marmalade Festival held at the weekend is one of the UK's many festivals dedicated solely to a particula… https://t.co/I75Ufx17Gq,0.8271,0.339,0.661,0.0,13
13,BBC,Wed Mar 21 11:03:01 +0000 2018,"Spring has officially sprung! 🌺🌷🌸🌱🌻

https://t.co/fAZSeVV8Oo",0.0,0.0,1.0,0.0,14
